"id","data_di_nascita"
1,12/03/1956
2,07/08/1972
3,22/11/1984
4,15/06/1945
5,01/09/2000
6,19/04/1967
7,30/10/1991
8,25/05/1988
9,03/07/1959
10,09/01/2002
11,16/12/1950
12,05/02/1978
13,24/08/1963
14,11/04/1999
15,29/07/1986
16,18/10/1947
17,06/03/2005
18,27/12/1975
19,14/05/1960
20,02/08/1981
21,20/11/1942
22,08/06/1979
23,31/01/1995
24,17/07/1965
25,04/02/2007
26,23/09/1953
27,10/03/1971
28,28/08/1989
29,15/12/1962
30,07/05/2003
31,26/10/1957
32,13/04/1968
33,01/07/1985
34,19/11/1993
35,05/06/1976
36,24/01/1949
37,12/08/1961
38,30/12/1982
39,18/05/1997
40,06/10/1955
41,25/03/2009
42,13/07/1973
43,02/02/1987
44,20/09/1966
45,09/04/1951
46,27/11/1990
47,16/06/1977
48,04/01/1944
49,22/08/1964
50,11/03/2001
51,30/07/1983
52,17/12/1958
53,07/05/1994
54,25/10/1970
55,14/04/1988
56,02/09/1969
57,21/01/1946
58,10/06/2006
59,28/02/1974
60,18/08/1952
61,06/01/1998
62,27/05/1980
63,15/10/1963
64,03/03/2004
65,21/07/1985
66,09/12/1992
67,28/04/1978
68,16/09/1967
69,05/02/1954
70,24/06/1986
71,12/11/1999
72,01/04/1948
73,19/08/1960
74,08/01/1996
75,26/05/1982
76,15/10/1975
77,03/03/1943
78,22/07/1965
79,10/12/1991
80,29/04/2008
81,17/09/1972
82,07/02/1957
83,25/06/1984
84,14/11/1962
85,02/04/1997
86,20/08/1950
87,09/01/1979
88,27/05/1989
89,16/10/1966
90,04/03/2001
91,23/07/1947
92,11/12/1970
93,31/03/1983
94,18/08/1955
95,07/01/1994
96,26/05/1968
97,15/09/1980
98,03/02/1953
99,20/06/1987
100,10/11/1995
